Sample.Name,sample_num,Cruise,Event,Order_Occ,Sta_ID,Cast_Type,Cardinal_Sta,Station_Notes,Date,Time,DateTime,Lat_Dec,Lon_Dec,Bottle,Assoc_Bottle,Bottle_Depth,Depthm,Del_Depth,Bottle_Notes,NCOG_DNA,NCOG_RNA,DNA_VolFilt,RNA_VolFilt,Pump_Speed,DNA_RNA_Vol_Notes,Filt_Str,Filt_End,Filt_Str_Notes,Filt_End_Notes,Gly.Sample,Sterivex_Notes,std_18S,Distance,T_degC,Salnty,STheta,O2ml_L,PO4ug,SiO3ug,NO3ug,NH3ug,ChlorA,Phaeop,RecInd,MLD_Sigma,NCDepth
201402_093.3_030.0_39,ND0001,201402,50,5,093.3 030.0,Prodo,FALSE,,1/29/2014,18:30,1/29/2014 18:30,32.84617,-117.533,16,16,40,39,-1,,TRUE,TRUE,1.04,1.356,330,not enough water but filter has some color,1311,1317,,,NA,NA,,-15.35599995,14.90600014,33.49100113,24.83243942,5.84100008,0.379999995,2.99000001,0,0.180000007,0.637000024,0.215000004,3,14.92586538,44.34782618
201402_093.3_030.0_10,ND0002,201402,50,5,093.3 030.0,Prodo,FALSE,,1/29/2014,18:30,1/29/2014 18:30,32.84617,-117.533,21,20,10,10,0,,TRUE,TRUE,1.04,2.14,330,,1311,1321,,,NA,NA,,-15.35599995,16.11100006,33.58269882,24.63398933,5.811999798,0.340000004,2.089999914,0.200000003,NA,0.286000013,0.059,3,14.92586538,44.34782618
201402_093.3_060.0_36,ND0003,201402,125,11,093.3 060.0,Prodo,FALSE,,1/30/2014,18:39,1/30/2014 18:39,31.8445,-119.58017,18,17,36,36,0,,TRUE,TRUE,1.04,6.35,330,,1237,1306,,,NA,NA,,-135.2709961,14.67099953,33.31079865,24.74369049,5.777999878,0.360000014,2.529999971,0.200000003,0.090000004,0.634000003,0.35800001,3,26.13158017,48.63636377
201402_093.3_060.0_11,ND0004,201402,125,11,093.3 060.0,Prodo,FALSE,,1/30/2014,18:39,1/30/2014 18:39,31.8445,-119.58017,23,22,11,11,0,,TRUE,TRUE,1.04,6.194,330,,1237,1302,,,NA,NA,,-135.2709961,14.96500015,33.24649811,24.62940025,5.828000069,0.340000004,2.569999933,0,0.170000002,0.252000004,0.075000003,3,26.13158017,48.63636377
201402_093.3_100.0_63,ND0005,201402,173,15,093.3 100.0,Prodo,FALSE,,1/31/2014,18:51,1/31/2014 18:51,30.51267,-122.26117,17,16,63,63,0,,TRUE,TRUE,1.04,5.832,330,,1258,1323,,,NA,NA,,-294.4330139,14.98600006,33.26520157,24.64262962,5.710000038,0.300000012,2.609999895,0,0.059999999,0.298999995,0.149000004,3,41.58335487,93.99999911
201402_093.3_100.0_10,ND0006,201402,173,15,093.3 100.0,Prodo,FALSE,,1/31/2014,18:51,1/31/2014 18:51,30.51267,-122.26117,23,23,10,10,0,,TRUE,TRUE,1.04,6.245,330,Not enough water so sampled from Bot 24 0m and Bot 23 10m; mixlayer,1258,1325,,,NA,NA,,-294.4330139,15.46899986,33.28160095,24.54623985,5.732999802,0.319999993,2.420000076,0.100000001,0.200000003,0.196999997,0.059999999,3,41.58335487,93.99999911
201402_090.0_120.0_75,ND0007,201402,205,18,090.0 120.0,Ros,TRUE,,2/1/2014,13:16,2/1/2014 13:16,30.4175,-124.00067,15,14,75,75,0,,TRUE,TRUE,2.2,6.41,330,,631,655,,,NA,NA,,-368.1740112,15.54300022,33.3266983,24.56900024,5.678999901,0.289999992,2.019999981,0,0.039999999,0.277999997,0.141000003,3,57.24922262,92.47368447
201402_090.0_120.0_10,ND0008,201402,205,18,090.0 120.0,Ros,TRUE,,2/1/2014,13:16,2/1/2014 13:16,30.4175,-124.00067,21,20,11,10,-1,,TRUE,TRUE,2.2,5.38,330,,631,651,,,NA,NA,,-368.1740112,16.21199989,33.41049957,24.47874069,5.617000103,0.289999992,1.850000024,0,0.119999997,0.157000005,0.050000001,3,57.24922262,92.47368447
201402_090.0_110.0_63,ND0009,201402,218,19,090.0 110.0,Prodo,FALSE,,2/1/2014,19:57,2/1/2014 19:57,30.75532,-123.337,17,16,62,63,1,,TRUE,TRUE,2.2,6.29,330,,1352,1420,,,NA,NA,,-328.3250122,14.85400009,33.23669815,24.64903069,5.774000168,0.340000004,2.730000019,0,0.050000001,0.236000001,0.145999998,3,39.98497532,79.0000004
201402_090.0_110.0_20,ND0010,201402,218,19,090.0 110.0,Prodo,FALSE,,2/1/2014,19:57,2/1/2014 19:57,30.75532,-123.337,22,24,20,20,0,Bot 23 10m misfired,TRUE,TRUE,2.2,4.4,330,Not enough water so sampled from Bot 24 0m and Bot 22 20m; mixlayer,1352,1411,,,NA,NA,,-328.3250122,15.48499966,33.29550171,24.55407906,5.71600008,0.330000013,2.50999999,0,0.039999999,0.160999998,0.041999999,3,39.98497532,79.0000004
201402_090.0_090.0_40,ND0011,201402,242,21,090.0 090.0,Ros,TRUE,,2/2/2014,8:57,2/2/2014 8:57,31.4145,-121.99232,17,16,40,40,0,,TRUE,TRUE,1.04,5.201,330,,203,227,,,NA,NA,,-248.6999969,13.48600006,33.05360031,24.79121017,6.040999889,0.379999995,3.059999943,0.200000003,0.059999999,0.778999984,0.319000006,3,31.36429702,46.15384615
201402_090.0_090.0_10,ND0012,201402,242,21,090.0 090.0,Ros,TRUE,,2/2/2014,8:57,2/2/2014 8:57,31.4145,-121.99232,21,20,10,10,0,,TRUE,TRUE,1.04,4.927,330,,203,227,,,NA,NA,,-248.6999969,14.30700016,33.12870026,24.67860031,5.989999771,0.349999994,2.74000001,0,0.029999999,0.479000002,0.101999998,3,31.36429702,46.15384615
201402_090.0_080.0_30,ND0013,201402,261,22,090.0 080.0,Prodo,FALSE,early prodo cast,2/2/2014,16:46,2/2/2014 16:46,31.7482,-121.30912,18,17,30,30,0,"did not get to samples right away, sat for one hour before filtering",TRUE,TRUE,2.2,4.336,330,,1136,1206,estimated,estimated,NA,NA,,-208.4440002,14.05500031,33.13000107,24.73335075,5.934999943,0.370000005,3.079999924,0.200000003,0.140000001,0.492000014,0.163000003,3,43.22415862,49.66666683
201402_090.0_080.0_10,ND0014,201402,261,22,090.0 080.0,Prodo,FALSE,early prodo cast,2/2/2014,16:46,2/2/2014 16:46,31.7482,-121.30912,22,21,12,10,-2,"did not get to samples right away, sat for one hour before filtering",TRUE,TRUE,2.2,4.902,330,,1136,1206,estimated,estimated,NA,NA,,-208.4440002,14.05500031,33.13259888,24.73428917,5.93200016,0.370000005,3.059999943,0.200000003,0.129999995,0.483999997,0.153999999,3,43.22415862,49.66666683
201402_090.0_070.0_70,ND0015,201402,268,23,090.0 070.0,Ros,TRUE,,2/2/2014,22:02,2/2/2014 22:02,32.08282,-120.63658,14,13,70,70,0,,TRUE,TRUE,1.04,6.1,330,,1618,1643,,,NA,NA,,-168.7350006,14.26200008,33.26160049,24.79425049,5.729000092,0.400000006,2.859999895,0.75999999,0.059999999,0.326999992,0.175999999,3,49.7215082,71.50000005
